review_rating,review_text,review_text_plus,review_text_minus
1,"Достоинства:Достоинстов нет
Недостатки:Недостатки во всем! Отклеились после 1 дня носки. Купите себе лучше валенки за такие деньги и носите с удовльствием, будете знать точно, что нога в тепле.
Комментарий:Ужас! Самые худшие кроссовки, что я когда-лиьо покупал!",,
5,Достоинства:Супер сын доволен,,
5,"Достоинства:Красивые кроссы,в деле не пробывал,а так все нравится👍",,
5,"Достоинства:Качество хорошее, но сыну не подошли",,
5,"Отличные , размер не подошёл",,
5,"Достоинства:Очень красивые ,как на картинках.
Недостатки:Местами видны излишки клея.
Комментарий:Оставляют хорошие впечатления",,
4,Недостатки:Размер не тот,,
5,"Достоинства:Сын доволен как слон, говорит, что в них пока тепло, стелька понравилась, пришли в размер",,
5,"Достоинства:Все как в описании, качественные, рекомендую",,
5,На вид очень даже хорошие.,,
1,"Достоинства:Красивые.
Недостатки:Тяжёлые. Не рекомендую. Выкинули 5238 р. на ветер. А кто то нажился , положил себе деньги в карман. Полная .йня
Комментарий:Кроссовки порвались буквально на 13 день носки. На фото видно. На 14 день стали оформлять возврат товара , а продавец не принимает обувь т.к. истек срок! Как? Знала бы , что они не качественные никогда бы их не купила",,
5,"Достоинства:Размер мой 42,брал 43 По объёму узковаты. Подошва жёсткая как будто коньки одел. Не комфортные!",,
5,"Достоинства:супер качество
Недостатки:чуть чуть маломерят
Комментарий:возьму себе на весну самое то будет",,
5,"Достоинства:Полное соответствие, нет неприятного запаха. Мягкие, удобные, стильные. Маломерят на размер. Однозначно рекомендую",,
3,Недостатки:Не подошёл размер,,
4,"Достоинства:Для меня , очень не удобная колодка, жёсткие. Думаю зимой будут дубовые",,
5,,,
5,"Достоинства:Отличные кроссовки
Недостатки:Не обнаружены",,
5,Достоинства:супер,,
5,"Достоинства:Качество в приделах нормы , достояно сидят на ноге
Недостатки:Чуть завышенна цена",,
5,Достоинства:Все отлично,,
1,"Недостатки:Очень скользкая и «дубовая» подошва. Зимой лучше не носить, а для весны и осени они очень теплые. В связи с тем, что подошва срезана в районе па льцев, приходиться заново учиться ходить! Не советую никому брать эту обувь, кроме квадроберов!",,
5,"Достоинства:Очень понравились! Отличные материалы и качество изготовления!
Недостатки:нет
Комментарий:Подразумевал увидеть качественную паль и не брать, но качество изготовления не отличается от оригинала, да даже лучше!Имеется опыт покупок в фирменных магазинах найк (и там не всегда все прям идеально), поэтому был приятно удивлен! Реально хотел найти недостатки, но не нашел. Ни одной нитки или кривого шва.",,
